name,bio,num_insults,date_of_first_insult
Ben Carson,"Benjamin Solomon ""Ben"" Carson, Sr. is an American retired neurosurgeon. Born in Detroit, Michigan, and a graduate of Yale University and the University of Michigan Medical School, Carson has authored numerous books on his medical career and political stances, and was the subject of a television drama film in 2009.",7,2015-10-25T11:34:59+0000
Bernie Sanders,"Bernard ""Bernie"" Sanders is an American politician, serving as the junior United States Senator from Vermont since 2007. Sanders is the longest-serving independent in U.S. congressional history. ",26,2015-08-22T20:23:47+0000
Bernard Goldberg,"Bernard Richard Goldberg, also known as Bernie Goldberg, is an American writer, journalist, and political pundit. Goldberg has won twelve Emmy Awards during his career. ",2,2015-12-11T04:44:00+0000
Bill de Blasio,"Bill de Blasio is an American politician who is serving as the 109th mayor of New York City. From 2010 to 2013, he held the citywide office of New York City public advocate, serving as an ombudsman between the electorate and the city government. ",5,2015-11-20T20:13:29+0000
Carly Fiorina,"Cara Carleton ""Carly"" Fiorina is an American businesswoman. Fiorina is known primarily for her tenure as the Chief Executive Officer of Hewlett-Packard.",8,2015-08-09T19:06:21+0000
Carl Cameron,Carl Cameron is an American television journalist and commentator for Fox News Channel.,2,2015-07-30T19:36:36+0000
Whoopi Goldberg,"Caryn Elaine Johnson, known professionally by her stage name, Whoopi Goldberg, is an American actress, comedian, and television host. ",3,2016-01-07T21:06:00+0000
Chuck Todd,"Charles David ""Chuck"" Todd is an American television journalist who is the 12th moderator of Meet the Press, and host of Meet the Press Daily on MSNBC. He also serves as the Political Director for NBC News. ",20,2015-07-12T21:08:52+0000
Charles Koch,"Charles de Ganahl Koch is an American businessman, political donor and philanthropist. He is co-owner, chairman of the board, and chief executive officer of Koch Industries, while his brother David H. Koch serves as Executive Vice President. Charles and David each own 42% of the conglomerate. ",1,2015-11-03T14:49:14+0000
Joe Scarborough,"Charles Joseph ""Joe"" Scarborough is an American cable news and talk radio host, lawyer, author, and former politician. He is currently the co-host of Morning Joe on MSNBC, and previously hosted Scarborough Country on the same channel. ",4,2016-05-06T18:03:34+0000
Charles Krauthammer,"Charles Krauthammer is an American syndicated columnist, author, political commentator, and non-practicing physician whose weekly column is syndicated to more than 400 publications worldwide.",9,2015-07-09T11:14:56+00:00
Charles Lane,"Charles Lane was an American character actor whose career spanned 64 years. Lane gave his last performance at the age of 90. Lane appeared in many Frank Capra films, including You Can't Take It With You, Mr. ",1,2015-10-18T18:15:24+0000
Charles Blow,"Charles McRay Blow is an American journalist, liberal commentator, and the current visual op-ed columnist for The New York Times.",1,2015-11-02T18:21:51+0000
Cheri Jacobus,"Cheri Jacobus is a conservative political strategist, pundit and writer. A frequent guest on CNN, MSNBC, FOX News and CBS.com, she has been an adjunct professor at George Washington University's graduate school of political management since 2007, and a political columnist at The Hill newspaper since February 2009.",8,2015-12-04T15:00:45+0000
Chris Christie,"Christopher James ""Chris"" Christie is an American attorney, politician and member of the Republican Party who has been the 55th Governor of New Jersey since January 2010. His term ends January 16, 2018.",1,2015-11-30T14:09:34+0000
Colin Powell,"Colin Luther Powell is an American statesman and a retired four-star general in the United States Army. He was the 65th United States Secretary of State, serving under U.S. President George W. Bush from 2001 to 2005, the first African American to serve in that position. ",2,2016-09-15T03:59:01+0000
Cory Booker,"Cory Anthony Booker is an American politician and the junior United States Senator from New Jersey, in office since 2013. Previously he served as mayor of Newark from 2006 to 2013.",2,2016-07-26T02:14:29+0000
Dana Perino,"Dana Marie Perino is an American political commentator and author. She was the 27th White House Press Secretary, serving under President George W. Bush from September 14, 2007 to January 20, 2009. ",1,2015-07-24T02:15:20+0000
Dan Henninger,Daniel Henninger is an American journalist. He serves as the Deputy Editorial Page Director of The Wall Street Journal and a Fox News contributor.,1,2015-07-31T13:36:33+0000
David Brooks,David Brooks is an American conservative political and cultural commentator who writes for The New York Times. He has worked as a reporter and later op-ed editor for The Wall Street Journal; a senior editor at The Weekly Standard from its inception; a contributing editor at Newsweek and The Atlantic Monthly; and as a commentator on NPR. ,6,2016-03-06T17:25:25+0000
David Gregory,"David Michael Gregory is an American television journalist and the former moderator of NBC News' Sunday morning talk show Meet the Press. Gregory currently serves as CNN political analyst, since 2016.",3,2016-03-30T03:10:20+0000
Shep Smith,"David Shepard Smith Jr., known better as Shepard Smith or Shep Smith, is an American television news anchor. He is the former host of Fox Report with Shepard Smith and Studio B weekdays on Fox News Channel. ",2,2015-11-13T21:54:18+0000
Debbie Wasserman Schultz,"Deborah ""Debbie"" Wasserman Schultz is an American politician. She is the U.S. Representative for Florida's 23rd congressional district, a member of the Democratic Party who served as chairperson of the Democratic National Committee from 2011 to 2016.
",2,2016-07-24T20:30:06+0000
Don Lemon,Don Lemon is an American television personality. He is based in New York City and currently hosts CNN Tonight.,2,2016-08-10T15:08:01+0000
Donny Deutsch,"Donald Jay ""Donny"" Deutsch is an American advertising executive and television personality.
He is the former host of the CNBC talk show The Big Idea with Donny Deutsch.",2,2016-08-22T01:08:08
Graydon Carter,"Edward Graydon Carter is a Canadian-born American journalist and has served as the editor of Vanity Fair since 1992. He also co-founded, with Kurt Andersen and Tom Phillips, the satirical monthly magazine Spy in 1986.",3,2015-10-16T21:33:41+0000
Elizabeth Warren,"Elizabeth Ann Warren is an American academic and politician. She is a member of the Democratic Party, and is the senior United States Senator from Massachusetts. ",54,2016-05-06T23:15:58+0000
Elizabeth Beck,Elizabeth Beck is a founder and managing partner of Beck & Lee law firm. She is a graduate of the University of California Los Angeles and Yale Law School.,6,2015-07-29T12:28:24+0000
Erick Erickson,"Erick Erickson is a politically conservative American blogger who hosts radio show Atlanta's Evening News with Erick Erickson, broadcast on 750 WSB. ",8,2015-08-09T03:45:40+0000
Errol Louis,"Errol Louis is a New York City journalist and television show host.
Louis is the current host of Inside City Hall, a program about New York City politics that airs nightly on NY1. ",1,2015-11-30T12:44:45+0000
Frank Bruni,"Frank Anthony Bruni is an American journalist. He was the chief restaurant critic of the New York Times, from 2004 to 2009. In June 2011, he was named an Op-ed columnist for the newspaper, its first openly gay one. ",1,2016-01-19T14:44:25
Frank Luntz,"Frank I. Luntz is an American political consultant, pollster, and ""public opinion guru"" best known for developing talking points and other messaging for various Republican causes. ",6,2015-07-23T02:14:12+0000
George Pataki,"George Elmer Pataki is an American lawyer and politician who served as the 53rd Governor of New York. A member of the Republican Party, Pataki was a lawyer who was elected Mayor of his home town of Peekskill, later going on to be elected to State Assembly, then State Senate. ",6,2015-07-01T21:09:35+00:00
George Will,"George Frederick Will is a Pulitzer Prize winning conservative political commentator. In 1986, The Wall Street Journal called him ""perhaps the most powerful journalist in America"", in a league with Walter Lippmann.",12,2015-08-17T18:13:11+0000
George H.W. Bush,George Herbert Walker Bush is an American politician who was the 41st President of the United States from 1989 to 1993 and the 43rd Vice President of the United States from 1981 to 1989. A member of the U.S. ,1,2015-08-10T16:40:15+0000
George W. Bush,"George Walker Bush is an American politician who was the 43rd President of the United States from 2001 to 2009 and 46th Governor of Texas from 1995 to 2000. The eldest son of Barbara and George H. W. Bush, he was born in New Haven, Connecticut. ",4,2015-07-09T11:25:43+00:00
Glenn Beck,"Glenn Lee Beck is an American television and radio host, conservative political commentator, author, television network producer, filmmaker, and entrepreneur. ",18,2015-10-08T15:44:04+0000
Gonzalo P. Curiel,Gonzalo Paul Curiel is a United States District Judge for the United States District Court for the Southern District of California.,5,2016-05-30T21:45:09+0000
Hallie Jackson,"Hallie Marie Jackson is a correspondent for NBC News and an anchor for its cable division, MSNBC. She has worked in Salisbury, Maryland; Dover, Delaware; Hartford, Connecticut; New Haven, Connecticut; and Baltimore, Maryland before joining NBC News in 2014.",1,2015-12-25T01:56:08+0000
Harry Hurt III,"Harry Hurt III is an award winning print journalist, a video journalist, and the author of six non-fiction books. He wrote 98 consecutive Executive Pursuits columns and made 14 related web videos for the Saturday business section of the New York Times starting in May 2005 and ending in February 2009.",4,2015-07-29T21:44:56+0000
Hillary Clinton,Hillary Diane Rodham Clinton is an American politician and the Democratic Party nominee for President of the United States in the 2016 election. ,371,2015-09-05T21:42:32+0000
Hugh Hewitt,"Hugh Hewitt is an American radio talk show host with the Salem Radio Network and a lawyer, academic, and author. A conservative and a Catholic, he comments on society, politics, and media bias in the United States. ",2,2015-09-05T12:14:11+0000
Huma Abedin,"Huma Mahmood Abedin is an American political staffer who serves as vice chairwoman of Hillary Clinton's 2016 campaign for President. Prior to that, she served as the deputy chief of staff to U.S. Secretary of State Hillary Clinton from 2009 to 2013.",1,2015-08-31T11:52:44+0000
Rick Perry,"James Richard ""Rick"" Perry is an American politician who served as the 47th Governor of Texas from December 2000 to January 2015. ",7,2015-07-05T14:44:31+00:00
Jeff Zucker,"Jeffrey Adam ""Jeff"" Zucker is the current president of CNN Worldwide. He previously served as the President and CEO of NBC Universal. Zucker has also served as an Executive in Residence at Columbia Business School. ",1,2016-09-09T14:42:56+0000
Jeff Flake,"Jeffry Lane ""Jeff"" Flake is an American politician and member of the Republican Party who has served as the Junior United States Senator from Arizona since 2013.",4,2016-09-04T22:05:29+0000
Jennifer Rubin,"Jennifer Rubin is an American conservative journalist. She writes the ""Right Turn"" blog for The Washington Post. Previously she worked at Commentary, PJ Media, Human Events, and The Weekly Standard. ",2,2015-12-04T20:37:37+0000
Jeb Bush,"John Ellis ""Jeb"" Bush, Sr. is an American businessman and politician who served as the 43rd Governor of Florida from 1999 to 2007.
Bush, who grew up in Houston, is the second son of former President George H. W. Bush and former First Lady Barbara Bush, and a younger brother of former President George W. Bush. ",93,2015-06-25T00:48:24+00:00
John Roberts,"John Glover Roberts Jr. is the 17th and current Chief Justice of the United States. He took his seat on September 29, 2005, having been nominated by President George W. Bush after the death of Chief Justice William Rehnquist. ",2,2015-06-26T14:06:22+00:00
John Harwood,"John Harwood is an American journalist who is the chief Washington Correspondent for CNBC. He is also a contributor for The New York Times. He writes a weekly column entitled ""The Caucus"" that appears on Monday about Washington politics and policy. Before joining the Times, he wrote for The Wall Street Journal.",1,2015-10-30T02:26:03+0000
John Sununu,"John Henry Sununu is a Cuban-born American politician. He served as the 75th Governor of New Hampshire and later White House Chief of Staff under President George H. W. Bush. He is the father of John E. Sununu, the former United States Senator from New Hampshire, and Christopher Sununu. Sununu was the chairman of the New Hampshire Republican Party from 2009 to 2011.",3,2015-07-27T21:01:07+0000
John Legere,"John J. Legere is an American businessman who is the chief executive officer and president of T-Mobile US. He previously served as an executive for AT&amp;T, Dell, Global Crossing, and serves on the CTIA board of directors.",2,2015-11-16T00:57:48+0000
John R. Allen,"John R. Allen is a retired United States Marine Corps four-star general, and past Deputy Commander of U.S. Central Command, prior to serving as Commander of the International Security Assistance Force and U.S. Forces Afghanistan. ",2,2016-07-29T13:53:31+0000
John Kasich,"John Richard Kasich is an American politician, the 69th and current Governor of Ohio, first elected in 2010 and re-elected in 2014. He is a member of the Republican Party.",25,2015-11-01T02:31:01+0000
John McCain,John Sidney McCain III is the senior United States Senator from Arizona and the Republican presidential nominee for the 2008 United States presidential election.,10,2015-07-16T20:39:56+0000
John Oliver,"John William Oliver is an English comedian, political commentator, television host, and occasional actor. He is the host of HBO's Peabody Award-winning late-night talk Last Week Tonight with John Oliver. ",1,2015-10-31T23:21:44+0000
Jonathan Martin,Jonathan August Martin is a former American football offensive tackle. He was drafted by the Miami Dolphins in the second round of the 2012 NFL Draft and has also played for the San Francisco 49ers. He played college football at Stanford.,3,2015-09-24T16:55:20+0000
Joe Biden,"Joseph Robinette ""Joe"" Biden Jr. is the 47th and current Vice President of the United States, having been jointly elected twice with President Barack Obama. ",1,2016-07-27T12:57:20+0000
Joy Behar,"Joy Behar is an American comedian, writer, actress, and a co-host on the ABC daytime talk show The View. She hosted The Joy Behar Show on HLN from 2009 to 2011 and Joy Behar: Say Anything! ",1,2016-01-07T21:06:19+0000
Juan Williams,"Juan Antonio Williams is a Panamanian-born American journalist and political analyst for Fox News Channel. He also writes for several newspapers including The Washington Post, The New York Times, and The Wall Street Journal and has been published in magazines such as The Atlantic Monthly and Time. ",2,2015-07-03T23:29:08+00:00
Karl Rove,"Karl Christian Rove is an American Republican political consultant and policy advisor. He was Senior Advisor and Deputy Chief of Staff during the George W. Bush administration until Rove's resignation on August 31, 2007. ",48,2015-07-15T15:01:37+0000
Kasie Hunt,Kasie S. Hunt is an American political correspondent for NBC News and MSNBC.,1,2015-10-28T15:18:45+0000
Katy Tur,"Katharine Bear ""Katy"" Tur is an American broadcast journalist working for NBC News. Tur is an NBC News correspondent based in New York City. ",7,2015-12-06T00:36:03+0000
Katie Couric,"Katherine Anne ""Katie"" Couric is an American journalist and author. She currently serves as Yahoo! Global News Anchor. Couric has been a television host on all Big Three television networks in the United States. ",4,2016-05-31T23:14:42+0000
Lawrence O'Donnell,"Lawrence Francis O'Donnell, Jr. is an American political analyst, journalist, actor, producer, writer, and host of The Last Word with Lawrence O'Donnell, a Monday through Thursday evening MSNBC opinion and news program. ",4,2015-06-25T12:19:39+00:00
Brent Bozell,"Leo Brent Bozell III, is an American conservative writer and activist who founded the Media Research Center, the Conservative Communications Center, and the Cybercast News Service. ",1,2016-01-23T01:32:32+0000
Lincoln Chafee,"Lincoln Davenport Chafee is an American politician from Rhode Island. He served as mayor of Warwick from 1993 to 1999, as a United States Senator from 1999 to 2007, and as the 74th Governor of Rhode Island from 2011 to 2015. ",1,2015-10-14T01:08:59+0000
Lindsey Graham,"Lindsey Olin Graham is an American politician and member of the Republican Party, who has served as a United States Senator from South Carolina since 2003, and has been the senior Senator from South Carolina since 2005.",15,2015-11-21T15:35:30+0000
Maggie Haberman,"Maggie Lindsy Haberman is a reporter and writer for The New York Times, based in New York City and a political analyst for CNN.",3,2015-12-09T12:06:06+0000
Major Garrett,Major Elliott Garrett is Chief White House Correspondent with CBS News and Correspondent at Large with National Journal. Prior to joining National Journal he was the senior White House correspondent for the Fox News Channel. ,3,2016-01-12T01:49:59+0000
Marc Thiessen,"Marc Alexander Thiessen is an American author, columnist and political commentator. He served as a speechwriter for United States President George W. Bush and Secretary of Defense Donald Rumsfeld. ",4,2015-10-16T02:00:12+0000
Marco Rubio,"Marco Antonio Rubio is an American politician and attorney, and the junior United States Senator from Florida. Rubio previously served as Speaker of the Florida House of Representatives.",82,2015-09-23T01:46:13+0000
Mark Cuban,"Mark Cuban is an American businessman and investor. He is the owner of the NBA's Dallas Mavericks, Landmark Theatres, and Magnolia Pictures, and is the chairman of the HDTV cable network AXS TV. ",1,2016-09-24T17:08:17+0000
Mark Halperin,"Mark Evan Halperin is co-managing editor of Bloomberg Politics and a senior political analyst for MSNBC and Bloomberg Television. He is the co-author of Game Change and Double Down: Game Change 2012. Both Halperin and Heilemann are co-hosts of MSNBC and Bloomberg's With All Due Respect, a political analysis show. ",2,2015-12-16T13:46:22+0000
Marty Walsh,"Martin Joseph ""Marty"" Walsh is an American politician from Boston, Massachusetts. A Democrat, he is the 54th and current Mayor of Boston, in office since 2014. ",1,2015-07-27T23:53:44+0000
Martin O'Malley,"Martin Joseph O'Malley is an American politician who was the 61st Governor of Maryland from 2007 to 2015. He previously served as the Mayor of Baltimore from 1999 to 2007, and was a Baltimore City Councilor from 1991 to 1999.",3,2015-10-14T01:11:14+0000
Mary Katharine Ham,"Mary Katharine Ham is an American journalist. She is editor at large of Hot Air, a contributing editor to Townhall Magazine, senior writer at The Federalist and a CNN contributor. At CPAC 2014, she was presented with the ACU Blogger of the Year award. She was previously a Fox News Channel contributor for eight years.",1,2015-11-20T15:03:04+0000
Cokie Roberts,"Mary Martha Corinne Morrison Claiborne Roberts, best known as Cokie Roberts, is an American journalist and author. She is a reporter on contract to National Public Radio as well as a regular roundtable analyst for the current This Week With George Stephanopoulos. ",2,2015-11-30T01:25:19+0000
Maureen Dowd,"Maureen Bridgid Dowd is an American columnist for The New York Times, and a best-selling author. During the 1970s and the early 1980s, Dowd worked for Time magazine and the Washington Star, where she covered news and sports and wrote feature articles.",8,2016-09-17T17:28:43+0000
Meghan McCain,"Meghan Marguerite McCain is an American columnist, author, FOX News Channel host and contributor, and blogger. She is the daughter of U.S. Senator John McCain and Cindy Hensley McCain. ",4,2015-09-05T11:56:51+0000
Megyn Kelly,"Megyn Marie Kelly, formerly known as Megyn Kendall, is an American journalist, political commentator and former corporate defense attorney, on the Fox News Channel. ",38,2015-08-07T07:40:41+0000
Michael Nutter,"Michael Anthony Nutter is an American politician who was the 98th Mayor of Philadelphia. Elected on November 6, 2007, he was reelected to a second term on November 8, 2011. ",3,2015-12-09T13:20:01+0000
Michael Barbaro,"Michael Barbaro is a political reporter for the New York Times covering the 2016 campaign. He is the host of The Run-Up, NYT's twice-weekly election podcast. ",3,2016-05-16T22:15:52+0000
Michael J. Morell,"Michael Joseph Morell is an American intelligence analyst. He served as the deputy director of the Central Intelligence Agency as well as its acting director twice, first in 2011 and then from 2012 to 2013. ",3,2016-08-07T23:09:08+0000
Michael Bloomberg,"Michael Rubens ""Mike"" Bloomberg is an American business magnate, politician, and philanthropist.
Bloomberg is the founder, CEO, and owner of Bloomberg L.P., the global financial data and media company that bears his name, and is notable for its Bloomberg Terminal, which is widely used by investment professionals around the world. ",3,2016-07-29T13:59:42+0000
Mika Brzezinski,"Mika Emilie Leonia Brzezinski is an American television host, author and journalist. Brzezinski co-hosts MSNBC's weekday morning broadcast Morning Joe with former Republican representative Joe Scarborough. ",10,2016-06-03T13:05:53+0000
Molly Sims,Molly Sims is an American model and actress. She rose to prominence for her appearances in the Sports Illustrated Swimsuit Issues and her role as Delinda Deline in the NBC drama Las Vegas.,1,2015-06-25T01:55:14+00:00
Mort Zuckerman,"Mortimer Benjamin ""Mort"" Zuckerman is a Canadian-born American media proprietor, magazine editor, and investor. He is the co-founder, executive chairman and former CEO of Boston Properties, one of the largest real estate investment trusts in the United States. ",4,2015-06-28T23:23:25+00:00
Neil Young,"Neil Percival Young, OC OM is a Canadian singer-songwriter and musician, producer, director and screenwriter. He began performing in a group covering Shadows instrumentals in Canada in 1960, before moving to California in 1966, where he co-founded the band Buffalo Springfield together with Stephen Stills and Richie Furay, and later joined Crosby, Stills &amp; Nash in 1969. ",1,2015-06-24T21:01:34+00:00
Nicolle Wallace,"Nicolle Wallace is an American author, political commentator for NBC News, and chief political analyst for MSNBC. She served as communications chief during the presidency of George W. Bush and in his 2004 re-election campaign. ",2,2015-06-25T01:55:14+00:00
Nikki Haley,"Nikki Haley is an American politician who has served as the 116th Governor of South Carolina since 2011. Prior to becoming governor, she represented Lexington County in the South Carolina House of Representatives from 2005 to 2011.",1,2016-03-01T19:33:20+0000
Paul Begala,"Paul Edward Begala is an American political consultant and political commentator. He was an adviser to President Bill Clinton. Begala was a chief strategist for the 1992 ClintonGore campaign, which carried 33 states and made Clinton the first Democrat to win the White House in twelve years. ",2,2016-05-18T04:22:01+0000
Paul Singer,"Paul Elliott Singer is an American hedge fund manager, activist investor, and philanthropist. His hedge fund, Elliott Management Corporation specializes in distressed debt acquisitions. ",1,2015-11-01T12:29:58+0000
Paulina Vega,"Paulina Vega Dieppa is a Colombian actress, TV Host, model and beauty queen who was crowned Miss Colombia 2013 and Miss Universe 2014.",1,2015-07-05T08:57:17+00:00
Penn Jillette,"Penn Fraser Jillette is an American magician, juggler, comedian, musician, inventor, actor, and best-selling author known for his work with fellow magician Teller as half of the team Penn &amp; Teller. ",7,2015-07-16T10:18:31+0000
Bobby Jindal,"Piyush ""Bobby"" Jindal is an American politician who was the 55th Governor of Louisiana between 2008 and 2016, and previously served as a U.S. Congressman and as the vice chairman of the Republican Governors Association.",3,2015-09-11T13:12:09+0000
Ted Cruz,"Rafael Edward ""Ted"" Cruz is an American politician and attorney, who has served as the junior United States Senator from Texas since 2013. He was a candidate for the Republican nomination for President of the United States in the 2016 election.
Cruz graduated from Princeton University, New Jersey, in 1992, and from Harvard Law School, Massachusetts, in 1995. ",110,2015-12-11T12:49:46+0000
Rand Paul,"Randal Howard ""Rand"" Paul is an American politician and physician. Since 2011, Paul has served in the United States Senate as a member of the Republican Party representing Kentucky. He is the son of former U.S. Representative Ron Paul of Texas.",8,2015-08-11T00:41:58+0000
Rich Lowry,"Richard A. ""Rich"" Lowry is the editor of National Review, the American conservative magazine of news and opinion. He is also a syndicated columnist, author, and political commentator.",5,2015-09-22T02:22:27+0000
Rick Wilson,"Richard James ""Rick"" Wilson, Australian politician, is a Liberal Party of Australia member of the Australian House of Representatives since September 2013, representing the Division of O'Connor, Western Australia. ",2,2015-12-10T04:24:40+0000
Rick Scott,"Richard Lynn ""Rick"" Scott is an American businessman and politician who has been the 45th Governor of Florida, since 2011. He is a member of the Republican Party of Florida.
",1,2015-06-25T12:29:09+00:00
Bob Vander Plaats,"Robert Lee ""Bob"" Vander Plaats is an American politician and political activist. He is currently the president and CEO of The Family Leader, a social conservative organization, and the National Co-Chair for Ted Cruz for President.",7,2016-01-26T15:55:01
Robert Gates,"Robert Michael ""Bob"" Gates is an American statesman, scholar and university president who served as the 22nd United States Secretary of Defense from 2006 to 2011. ",5,2016-09-17T11:51:41+0000
Woody Johnson,"Robert Wood ""Woody"" Johnson IV is an American businessman and philanthropist. He is a great-grandson of Robert Wood Johnson I, and the owner of the New York Jets of the National Football League.",1,2016-01-04T20:00:04+0000
Rodrigo Duterte,"Rodrigo ""Rody"" Roa Duterte, also known as Digong, is a Filipino politician and jurist who is the 16th and current President of the Philippines. He is the first Mindanaoan to hold the office, and the fourth of Visayan descent.
",1,2016-09-06T11:12:11+0000
Ronda Rousey,"Ronda Jean Rousey is an American mixed martial artist, judoka, and actress. Rousey was the first U.S. woman to earn an Olympic medal in judo, which she won at the 2008 Summer Olympics in Beijing. ",1,2015-11-16T00:10:29+0000
Russell Moore,"Russell Moore and IIIrd Tyme Out is a bluegrass band formed in 1991 in Cumming, Georgia. Consisting of Russell Moore, Keith McKinnon, Justen Haynes, Wayne Benson and Blake Johnson, the band has released thirteen albums and two greatest hits collections since 1991. ",2,2016-05-09T10:05:49+0000
Ruth Marcus,"Ruth Allyn Marcus is a Journalist who currently writes an op-ed column for The Washington Post. In March 2007, she was a finalist for the Pulitzer Prize for Commentary.",2,2016-01-03T19:03:56+0000
Ruth Bader Ginsburg,"Ruth Joan Bader Ginsburg is an Associate Justice of the Supreme Court of the United States. Ginsburg was appointed by President Bill Clinton and took the oath of office on August 10, 1993. ",4,2016-07-13T04:54:40+0000
Samuel L. Jackson,"Samuel Leroy Jackson is an American actor and film producer. He achieved prominence and critical acclaim in the early 1990s with films such as Jungle Fever, Patriot Games, Amos &amp; Andrew, True Romance, Jurassic Park and his collaborations with director Quentin Tarantino including Pulp Fiction, Jackie Brown, Django Unchained, and The Hateful Eight. ",4,2016-01-05T17:42:47+0000
Sam Liccardo,"Samuel Theodore ""Sam"" Liccardo is an American politician from California, currently serving as Mayor of San Jose. Liccardo was elected mayor in November 2014.",1,2016-06-04T13:11:09+0000
S.E. Cupp,"Sarah Elizabeth ""S. E."" Cupp is an American conservative political commentator and writer.
She was a panelist on the CNN political debate show Crossfire, co-author of Why You're Wrong About the Right, with Brett Joshpe, and the sole author of Losing Our Religion: The Liberal Media's Attack on Christianity. ",8,2015-12-10T02:15:31+0000
Scott Walker,"Scott Kevin Walker is the 45th and current Governor of Wisconsin. First elected governor in the 2010 Wisconsin general election, he survived a 2012 recall election and was reelected governor in the 2014 Wisconsin gubernatorial election. ",6,2015-07-25T16:59:49+0000
Sopan Deb,"Sopan Deb is a political journalist for CBS News. He is also a stand up comic, NBA junkie and pianist.",4,2015-12-06T00:36:03+0000
Stephanie Rawlings-Blake,"Stephanie C. Rawlings-Blake is an American politician and the 49th and current mayor of Baltimore, Maryland. She is the second woman to hold the office. ",1,2016-08-07T13:49:29+0000
Steve Rattner,Steven Lawrence Rattner is an American financier who served as lead adviser to the Presidential Task Force on the Auto Industry in 2009 for the Obama administration. ,1,2015-07-27T18:51:17+0000
Stuart Stevens,"Stuart Stevens is an American travel writer and political consultant. He was the cofounder of Washington, D.C. - based political media consultancy Stevens & Schriefer Group. ",12,2015-10-05T23:40:16+0000
Tavis Smiley,"Tavis Smiley is an American talk show host, author, liberal political commentator, entrepreneur, advocate and philanthropist. Smiley was born in Gulfport, Mississippi, and grew up in Bunker Hill, Indiana. ",1,2016-01-11T14:16:36+0000
Tom Ridge,"Thomas Joseph ""Tom"" Ridge is an American politician who served as the Assistant to the President for Homeland Security from 2001 to 2003, and the first United States Secretary of Homeland Security from 2003 to 2005. ",3,2015-12-11T21:37:58+0000
Tim Kaine,"Timothy Michael ""Tim"" Kaine is an American attorney and politician serving as the junior United States Senator from Virginia. A Democrat, Kaine was elected to the Senate in 2012 and is the nominee of his party for Vice President of the United States in the 2016 election.",4,2016-07-23T03:23:15+0000
Tom Llamas,Tom Llamas is an American news anchor and correspondent for ABC News. He is the Sunday anchor for ABC World News Tonight. He used to be the 5 pm anchor for WNBC's News 4 New York and a contributing correspondent for NBC News. ,2,2015-08-21T04:38:51+0000
Tony Schwartz,"Tony Schwartz is an American journalist, business book author, professional speaker, and the ghostwriter and credited co-author of Trump: The Art of the Deal.",6,2016-09-10T05:47:11+0000
Mitt Romney,"Willard Mitt Romney, better known as Mitt Romney, is an American businessman and politician who served as the 70th Governor of Massachusetts from 2003 to 2007 and was the Republican Party's nominee for President of the United States in the 2012 election.",24,2015-07-18T20:46:53+0000
